Lyric,Prompt,Image_URL
164 ContributorsTranslationsEspañolFrançaisDeutschPortuguêsShqip中文日本語ItalianoTürkçe한국어РусскийУкраїнськаالعربيةSvenska​vampire Lyrics[Verse 1],"""Generate an image of a vampire concert with audience members representing the cultures of 16 different countries, as indicated by languages: Spanish, French, German, Portuguese, Albanian, Chinese, Japanese, Italian, Turkish, Korean, Russian, Ukrainian, Arabic, Swedish.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-OT2fZ22dprxBKeoq7MgkqdPK.png?st=2023-09-25T22%3A43%3A30Z&se=2023-09-26T00%3A43%3A30Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A37%3A13Z&ske=2023-09-26T20%3A37%3A13Z&sks=b&skv=2021-08-06&sig=ky58b7pdIDGgIjI%2BGXBsKTOrEpkcDA/G2dDevChki7M%3D
Hate to give the satisfaction asking how you're doing now,"""An abstract visual representation of emotions associated with secretly caring about a distant person's wellbeing, yet refusing to express it publicly due to bitter feelings.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-LLztE1lxQBgXk06ofF8XMBcc.png?st=2023-09-25T22%3A43%3A43Z&se=2023-09-26T00%3A43%3A43Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A40%3A14Z&ske=2023-09-26T20%3A40%3A14Z&sks=b&skv=2021-08-06&sig=21D0eVlZmtRNFOmiy6DvYZqLvV0rz7scHmHSTLZnnkk%3D
How's the castle built off people you pretend to care about?,"""Generate a surreal image of a castle being constructed by ghostly figures, representing people who are being pretended to be cared about.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-k5iD2zriegxNY59fsiUUzRdO.png?st=2023-09-25T22%3A43%3A55Z&se=2023-09-26T00%3A43%3A55Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A39%3A44Z&ske=2023-09-26T20%3A39%3A44Z&sks=b&skv=2021-08-06&sig=ed/902K6dJJtiNNjIjvK2cwnHw/geIwwaXNunsGPG6g%3D
Just what you wanted,"""Generate an image representing a person joyfully interacting with a long-desired object or achievement, with the phrase 'Just what you wanted' illustrated in a creative manner.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-xsiVPAL3hMQFCm75ElsaeFgB.png?st=2023-09-25T22%3A44%3A45Z&se=2023-09-26T00%3A44%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A41%3A03Z&ske=2023-09-26T23%3A41%3A03Z&sks=b&skv=2021-08-06&sig=qD24cHohlUKgUXWv7fK6RdDP7FSIA0OfXI8l%2BTsmCXI%3D
"Look at you, cool guy, you got it","""Generate an image of a stylish, confident man exuding charisma, based on the phrase 'Look at you, cool guy, you got it'.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-8d3dmRnhTuUf6tw6m3ajeFBX.png?st=2023-09-25T22%3A45%3A04Z&se=2023-09-26T00%3A45%3A04Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A39%3A49Z&ske=2023-09-26T20%3A39%3A49Z&sks=b&skv=2021-08-06&sig=c3DODoPKUJhd0Hr41RxjKu133Et1Finy7OTaMtOdGeA%3D
I see the parties and the diamonds sometimes when I close my eyes,"""Generate an image embodying the essence of luxurious parties with people adorned in dazzling diamonds, as if envisioned in a dream when one's eyes are closed.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-xF3LGnsoyL7qlWxyDT47qXES.png?st=2023-09-25T22%3A45%3A22Z&se=2023-09-26T00%3A45%3A22Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A45%3A22Z&ske=2023-09-26T23%3A45%3A22Z&sks=b&skv=2021-08-06&sig=W5FV66/Qjl6F/oFSWrETWHOSY4VJN7eKBDSaIiNjoSE%3D
Six months of torture you sold as some forbidden paradise,"""Visualize a haunted paradise island that symbolizes six months of torment, showcasing the deceptive allure and hidden agony, complete with lush yet ominous vegetation, ghostly apparitions, dark stormy skies, and turbulent waters.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-9TOOUELZqzH8aGq4IBcmqg5s.png?st=2023-09-25T22%3A45%3A38Z&se=2023-09-26T00%3A45%3A38Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A45%3A38Z&ske=2023-09-26T23%3A45%3A38Z&sks=b&skv=2021-08-06&sig=QDVeskTXJkVZ6uzGqtQAJcjbZfSfvcbe%2BFssryY9LfQ%3D
I loved you truly,"""Visual representation of a romantic vintage atmosphere with two people depicting the sentiment of the words 'I loved you truly'"".",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-eBycUNo4q8ZZyDTQiWz6dRvx.png?st=2023-09-25T22%3A45%3A55Z&se=2023-09-26T00%3A45%3A55Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A45%3A55Z&ske=2023-09-26T23%3A45%3A55Z&sks=b&skv=2021-08-06&sig=eFWwrV3Yaz1yFwjEA0aNGMEAK6Dsm88%2BJl66/e09F5A%3D
You gotta laugh at the stupidity,"""Create an image depicting a character humorously reacting to an absurdly silly situation.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-GDMAwDRApDRbn8q9Pqvu4kPf.png?st=2023-09-25T22%3A46%3A07Z&se=2023-09-26T00%3A46%3A07Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A46%3A07Z&ske=2023-09-26T23%3A46%3A07Z&sks=b&skv=2021-08-06&sig=LbjiB%2BNqGBqjUZwWnYAMmmcadJiGZgpo10tQOTImQNM%3D
,"""Generate an image depicting a serene twilight sky, filled with radiant stars, reflecting on a peaceful river flanked by old oak trees with a solitary silhouetted figure standing near the water's edge, inspired by the lyric ""Underneath the starlight, starlight, there's a magical feeling, so right, it will steal your heart tonight.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-45XGkiKsA5J1YtBQKELqmTyc.png?st=2023-09-25T22%3A46%3A23Z&se=2023-09-26T00%3A46%3A23Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A46%3A23Z&ske=2023-09-26T23%3A46%3A23Z&sks=b&skv=2021-08-06&sig=DOmGHkACns5%2B3kY7qXIHomYVacBlqklQD9Etxmq3wA4%3D
