Lyric,Prompt,Image_URL
237 ContributorsTranslationsPolskiAmerican Pie Lyrics[Intro],"""Generate a conceptual image depicting an American Pie with 237 contributors, with elements of Polish and music-related designs inspired by the song 'American Pie'.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-GaKcciKyMOfZfN8CtHmhessx.png?st=2023-09-25T21%3A42%3A19Z&se=2023-09-25T23%3A42%3A19Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A38%3A58Z&ske=2023-09-26T20%3A38%3A58Z&sks=b&skv=2021-08-06&sig=EfOsluZuRfR92rKrUOq335CxOvPQtp2Rbct7JGpxM%2Bg%3D
"A long, long time ago","""Generate an image depicting a serene, timeless landscape from a long, long time ago, infused with elements showing its ancient history.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-WEl81dBR6qt6lIzbMVBoBDKJ.png?st=2023-09-25T21%3A42%3A30Z&se=2023-09-25T23%3A42%3A30Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A36%3A52Z&ske=2023-09-26T20%3A36%3A52Z&sks=b&skv=2021-08-06&sig=MimfRTlbIM/WLGFG85HhS2Bmd/gFha/kTjRoLMda1Sg%3D
I can still remember how that music,"""Create an image of a nostalgic scene, featuring a person fondly remembering a moment from their past which is entwined with music – perhaps an old record, a vintage stereo, or a concert setting.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-3ltZfU1lqZiebY6MifiVwiPQ.png?st=2023-09-25T21%3A42%3A43Z&se=2023-09-25T23%3A42%3A43Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A41%3A01Z&ske=2023-09-26T20%3A41%3A01Z&sks=b&skv=2021-08-06&sig=IGMOe8xkDooM40R90jVW4NOVMEmmJ1u0HNcv1GHe%2Bbc%3D
Used to make me smile,"""A nostalgic scene featuring an object or place that once prompted a joyful smile, captured in soft, warm colors.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-o6Ko4zhBOHspYQilhSZvNRb6.png?st=2023-09-25T21%3A42%3A54Z&se=2023-09-25T23%3A42%3A54Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A35%3A54Z&ske=2023-09-26T20%3A35%3A54Z&sks=b&skv=2021-08-06&sig=l3ekf/KkFNEbYg3WaFS8qbk%2BKJPKc8Mqm%2BsHxOFAnO8%3D
And I knew if I had my chance,"""Visualize an ambitious person standing at the precipice of a significant opportunity, inspired by the lyric 'And I knew if I had my chance'."".",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-ODbtbkyOJviJY8TNPtXZo1H7.png?st=2023-09-25T21%3A43%3A07Z&se=2023-09-25T23%3A43%3A07Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A36%3A52Z&ske=2023-09-26T20%3A36%3A52Z&sks=b&skv=2021-08-06&sig=i9n9mGBTRYL1hIZMdZjzI%2BYplgotjDf1Yn1Ac3NAxLc%3D
That I could make those people dance,"""Design an uplifting image of a vibrant dance floor with colorful lighting and diverse people of all ages joyfully dancing, inspired by the feeling evoked by the lyrics 'That I could make those people dance'.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-Ixib779SKZCrGyCHIpWqkdUa.png?st=2023-09-25T21%3A43%3A21Z&se=2023-09-25T23%3A43%3A21Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A37%3A17Z&ske=2023-09-26T20%3A37%3A17Z&sks=b&skv=2021-08-06&sig=zVG%2BzF6YSZ0x44v4gFZYfSiTnDz/3R7hnSTAGnNhAGs%3D
And maybe they'd be happy for a while,"""Generate an image of two people visibly exuding joy and contentment in a serene setting, embodying the concept of fleeting happiness inspired by the lyric 'And maybe they'd be happy for a while'.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-yF5UPzsWvj5MqldZpEXPVu2O.png?st=2023-09-25T21%3A43%3A33Z&se=2023-09-25T23%3A43%3A33Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A38%3A16Z&ske=2023-09-26T20%3A38%3A16Z&sks=b&skv=2021-08-06&sig=0JYkMKvi%2BdiNwrRxI67G5vE50FkgGGnf/NmeRPaDz4U%3D
But February made me shiver,"""Generate an image depicting a solitary figure shivering in the chilly atmosphere of February, with bleak landscapes and a sky full of winter hues.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-5DCnsKxR0U1eVi0cwPAdcH51.png?st=2023-09-25T21%3A43%3A45Z&se=2023-09-25T23%3A43%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A38%3A22Z&ske=2023-09-26T20%3A38%3A22Z&sks=b&skv=2021-08-06&sig=JE%2BOoYikvr4bjYd/L4nGcoV8h3%2BdSZf8Aw9KN20rqyU%3D
With every paper I'd deliver,"""Create an image illustrating a scene where someone is diligently delivering newspapers on an enchanting morning under a beautiful sunrise.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-M66WdUwvefAK25xos015tdAC.png?st=2023-09-25T21%3A43%3A56Z&se=2023-09-25T23%3A43%3A56Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A37%3A12Z&ske=2023-09-26T20%3A37%3A12Z&sks=b&skv=2021-08-06&sig=XAdvplgrKvR2fmuhaIUFyVjXtFfrhhBoYZ0PXyL/ZjI%3D
Bad news on the doorstep,"""Generate an image of a dark, foreboding doorstep with an ominous envelope labeled 'Bad News' under the pale glow of a streetlight.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-hkOogR65nW7aBr6KRG6WuRqT.png?st=2023-09-25T21%3A44%3A08Z&se=2023-09-25T23%3A44%3A08Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A36%3A09Z&ske=2023-09-26T20%3A36%3A09Z&sks=b&skv=2021-08-06&sig=aJFMqEI4L23/8MOecZ975M1NPAsDtGpDne1/GBGsFY4%3D
I couldn't take one more step,"""Generate an image of a weary traveler in an expansive, empty desert, reaching a point of exhaustion where he's unable to take one more step, with a setting sun casting long shadows.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-wctzCUsDGEcD2ZOXv7A6AJzg.png?st=2023-09-25T21%3A44%3A21Z&se=2023-09-25T23%3A44%3A21Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A40%3A11Z&ske=2023-09-26T20%3A40%3A11Z&sks=b&skv=2021-08-06&sig=q5kQmWUPT/GMZbw5NVXuU7taikabNdmP6PnFhJr25U8%3D
I can't remember if I cried,"""Generate an image of a melancholy character in a contemplative pose, with teardrops on their face or on the verge of tears, depicting a state of forgetting whether they have cried.""",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-Ur5X1Sdqh5bukhUzAgZfhkvu.png?st=2023-09-25T21%3A44%3A34Z&se=2023-09-25T23%3A44%3A34Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T20%3A36%3A39Z&ske=2023-09-26T20%3A36%3A39Z&sks=b&skv=2021-08-06&sig=PmBAEcO9NYwjyCgwymfWZDv/EAa7BQvtySSUoNrGOig%3D
