Lyric,Prompt,Image_URL,Gen_Time
164 ContributorsTranslationsEspañolFrançaisDeutschPortuguêsShqip中文日本語ItalianoTürkçe한국어РусскийУкраїнськаالعربيةSvenska​vampire Lyrics[Verse 1],"""Paint a scene from a vampire's ballad."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-pHQNGrDw3sNL5JurpWbcVqSO.png?st=2023-09-26T02%3A37%3A08Z&se=2023-09-26T04%3A37%3A08Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A49%3A09Z&ske=2023-09-26T23%3A49%3A09Z&sks=b&skv=2021-08-06&sig=3foZAMPQK8g4omU9tlXowS6A4eUIqR9QsQcK2hn28gc%3D
Hate to give the satisfaction asking how you're doing now,"""Artwork of a revengeful reunion conversation."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-DINPZDOv2X48gfZVQnjAiNC4.png?st=2023-09-26T02%3A37%3A21Z&se=2023-09-26T04%3A37%3A21Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A48%3A09Z&ske=2023-09-26T23%3A48%3A09Z&sks=b&skv=2021-08-06&sig=FliXSav/gtGmAyG/wXzP/MAhKCjDlFM7L9tYd4IY/JA%3D
How's the castle built off people you pretend to care about?,"""Visualize a castle built from pretense and indifference."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-f1gPOB98HSpevuXVIxpffAQf.png?st=2023-09-26T02%3A37%3A34Z&se=2023-09-26T04%3A37%3A34Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A47%3A02Z&ske=2023-09-26T23%3A47%3A02Z&sks=b&skv=2021-08-06&sig=ofxwwubXmKhSoYiU38AsRvXPfuhneNWoujQouhHkSEo%3D
Just what you wanted,"""Delicate hands unwrapping a much-desired gift."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-BGExNsLDNnRRgcqzQYCiXtmZ.png?st=2023-09-26T02%3A37%3A48Z&se=2023-09-26T04%3A37%3A48Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A47%3A53Z&ske=2023-09-26T23%3A47%3A53Z&sks=b&skv=2021-08-06&sig=AER0h/4BHzoom9Pv4CcgAeMmzd9FrFJVpxk0BhcKyzU%3D
"Look at you, cool guy, you got it","""Confident man posing with his contagious charm."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-MYC9TrMe5hXKoY76Ph2RsCbw.png?st=2023-09-26T02%3A38%3A02Z&se=2023-09-26T04%3A38%3A02Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A47%3A17Z&ske=2023-09-26T23%3A47%3A17Z&sks=b&skv=2021-08-06&sig=iBVyYfyrmmG/auLaHTMVnEtMJNsZ8yhu%2BL0czKpYaDc%3D
I see the parties and the diamonds sometimes when I close my eyes,"""Imagining a lavish party sparkling with diamonds."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-OCqofBvFqKJ9nLF6qRJo1WO6.png?st=2023-09-26T02%3A38%3A17Z&se=2023-09-26T04%3A38%3A17Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A51%3A05Z&ske=2023-09-26T23%3A51%3A05Z&sks=b&skv=2021-08-06&sig=th%2BXPgmJWjWMQrAjoC3OPzWLAKBs3gs7nhEkbBtsK28%3D
Six months of torture you sold as some forbidden paradise,"""Depict a paradise secretly suffering six months of torture."", realistic",n/a
I loved you truly,"""Depicting genuine love against a romantic sunset backdrop."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-CSABZOjfIiDt8DeslBahXRjU.png?st=2023-09-26T02%3A38%3A33Z&se=2023-09-26T04%3A38%3A33Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A48%3A10Z&ske=2023-09-26T23%3A48%3A10Z&sks=b&skv=2021-08-06&sig=D4TTeBLvyJ1YcygzwcNiy1GbiB7TlD9n%2Bm63ntOTYPw%3D
You gotta laugh at the stupidity,"""Clown entertaining with unwise, humorous actions"", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-2jwDSmBmcW54ve3i5bac6wvT.png?st=2023-09-26T02%3A38%3A47Z&se=2023-09-26T04%3A38%3A47Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A56%3A14Z&ske=2023-09-26T23%3A56%3A14Z&sks=b&skv=2021-08-06&sig=YoRUBQw36YHaVJgH1zFdzbuLTB6hCb0Wux5ucGiICL4%3D
[Chorus],"""Visualize a choir harmonizing during a chorus."", realistic",https://oaidalleapiprodscus.blob.core.windows.net/private/org-5asyG5KsxkGgkhEpGIwSUNiR/user-hEblrJn1zbSsetupZN9Eyq8x/img-82SOKNfkDsJ9nShKHDGn6Hym.png?st=2023-09-26T02%3A38%3A59Z&se=2023-09-26T04%3A38%3A59Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2023-09-25T23%3A50%3A11Z&ske=2023-09-26T23%3A50%3A11Z&sks=b&skv=2021-08-06&sig=tdYenQ12mwjpEYNmfTXQgoxAs7wAKGzQzW3UTSMNuBQ%3D
